title,content,date,url,source,label,text_length,word_count,has_urls,has_numbers,has_quotes
Waspada Iklan Perkhidmatan Lesen Memandu Percuma Yang Menyalahgunakan Nama dan Logo JPJ,"Menurut Jabatan Pengangkutan Jalan Malaysia (JPJ): JPJ mendapati terdapat beberapa akaun media sosial yang mengiklankan permohonan lesen memandu secara percuma dan tidak mengikut syarat-syarat ditetapkan serta tidak sah di sisi undang-undang. Orang ramai diingatkan agar tidak terpedaya, tidak berkongsi atau menyebarkan maklumat yang tidak sahih, serta tidak melibatkan diri dengan mana-mana urusan pemilikan lesen memandu [&#8230;]","Tue, 17 Jun 2025 13:21:00 +0000",https://sebenarnya.my/waspada-iklan-perkhidmatan-lesen-memandu-percuma-yang-menyalahgunakan-nama-dan-logo-jpj/,Sebenarnya.my,0,433,56,False,True,False
Penjelasan Berkenaan Peluasan SST,Menurut kenyataan Kementerian Kewangan (MOF): MOF ingin memberikan penjelasan berhubung laporan berita yang mempersoalkan pelaksanaan Cukai Jualan ke atas buah-buahan tempatan. Kekeliruan ini timbul susulan kemungkinan buah-buahan tropika termasuk dalam Perintah Warta Cukai Jualan PU(A) 170/2025 yang menyenaraikan barangan yang dikenakan Cukai Jualan sebanyak 5%. Di bawah peluasan Cukai Jualan dan Perkhidmatan (SST) yang akan [&#8230;],"Wed, 11 Jun 2025 10:31:00 +0000",https://sebenarnya.my/penjelasan-berkenaan-peluasan-sst/,Sebenarnya.my,0,439,56,False,True,False
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 12 Jun Hingga 18 Jun 2025,"Menurut kenyataan Media Kementerian Kewangan (MOF): Berdasarkan penetapan harga runcit produk petroleum secara mingguan menggunakan formula Automatic Pricing Mechanism, harga runcit produk petroleum bagi tempoh 12 Jun 2025 hingga 18 Jun 2025 adalah ditetapkan seperti berikut: (i) harga runcit petrol RON97 kekal pada paras RM3.07 seliter,(ii) harga runcit petrol RON95 kekal pada paras RM2.05 seliter;(iii) [&#8230;]","Wed, 11 Jun 2025 09:00:00 +0000",https://sebenarnya.my/makluman-harga-runcit-produk-petroleum-bagi-tempoh-12-jun-hingga-18-jun-2025/,Sebenarnya.my,0,417,56,False,True,False
Waspada Taktik Penipuan Yang Mempromosikan Produk Penjagaan Diabetes Menyalahgunakan Identiti YB Timbalan Menteri Kesihatan,"Menurut Kementerian Kesihatan Malaysia (KKM): KKM mengambil maklum penyebaran sebuah video yang menyalahgunakan identiti YB Timbalan Menteri Kesihatan untuk mempromosikan sebuah produk penjagaan diabetes di platform media sosial. KKM menafikan sekeras-kerasnya kesahihan video ini, yang disyaki dihasilkan menggunakan teknologi kecerdasan buatan (AI) yang kini mampu menghasilkan video dan kandungan audio-visual lain yang amat realistik. Orang [&#8230;]","Sun, 08 Jun 2025 14:12:00 +0000",https://sebenarnya.my/waspada-taktik-penipuan-yang-mempromosikan-produk-penjagaan-diabetes-menyalahgunakan-identiti-yb-timbalan-menteri-kesihatan/,Sebenarnya.my,0,454,56,False,True,False
Penjelasan Pengumpulan Data Telefon Bimbit (MPD),"Menurut Kenyataan Suruhanjaya Komunikasi dan Multimedia Malaysia (MCMC): Merujuk kepada laporan media berkaitan pengumpulan data telefon bimbit ( Mobile Phone Data, MPD ) daripada Penyedia Rangkaian Mudah Alih ( Mobile Network Operators, MNO ), Suruhanjaya Komunikasi dan Multimedia Malaysia (MCMC) ingin memberikan penjelasan berhubung perkara ini serta menegaskan bahawa tiada Maklumat Pengenalan Peribadi ( Personally [&#8230;]","Fri, 06 Jun 2025 13:51:00 +0000",https://sebenarnya.my/penjelasan-pengumpulan-data-telefon-bimbit-mpd/,Sebenarnya.my,0,430,56,False,True,False
Waspada Taktik Penipuan Jualan Anak Pokok Buah Ceri dan Tembikai Yang Menyalahgunakan Nama Serta Logo MARDI,"Menurut Insititut Penyelidikan dan Kemajuan Pertanian Malaysia (MARDI): Untuk makluman, laman media sosial tersebut tiada kaitan dengan MARDI. Ia merupakan laman palsu yang diwujudkan oleh pihak tidak bertanggungjawab. MARDI tidak pernah menjual anak pokok atau benih ceri dan tembikai seperti yang diiklankan di laman palsu tersebut. SUMBER: Facebook Rasmi MARDI","Fri, 06 Jun 2025 04:08:00 +0000",https://sebenarnya.my/waspada-taktik-penipuan-jualan-anak-pokok-buah-ceri-dan-tembikai-yang-menyalahgunakan-nama-serta-logo-mardi/,Sebenarnya.my,0,363,50,False,False,False
Waspada Angin Barat Kencang Dijangka Bertiup Memasuki Rantau Negara Pada 8 Hingga 12 Jun 2025,"Menurut Jabatan Meteorologi Malaysia (MET): Analisis terhadap model-model ramalan cuaca terkini menunjukkan angin barat kencang dijangka bertiup memasuki rantau negara pada 8 hingga 12 Jun 2025. Keadaan ini berpotensi menghasilkan ribut petir berserta hujan lebat dalam tempoh yang lebih panjang di utara Semenanjung serta angin kencang dan laut bergelora di perairan Phuket, Selat Melaka Utara [&#8230;]","Thu, 05 Jun 2025 05:42:00 +0000",https://sebenarnya.my/waspada-angin-barat-kencang-dijangka-bertiup-memasuki-rantau-negara-pada-8-hingga-12-jun-2025/,Sebenarnya.my,0,404,56,False,True,False
Makluman: Bekalan Ternakan Korban Dijangka Mencukupi Menjelang Sambutan Hari Raya Aidiladha Tahun 2025 (1446H),"Menurut Kenyataan Siaran Media Kementerian Pertanian Dan Keterjaminan Makanan (KPKM): KPKM menjangkakan bekalan ternakan untuk sambutan Hari Raya Aidiladha di seluruh Malaysia bagi tahun 2025 adalah mencukupi dan dapat memenuhi permintaan. Mengikut statistik daripada Jabatan Perkhidmatan Veterinar (DVS), stok bekalan lembu/kerbau tempatan sehingga Mac 2025 adalah 35,581 ekor manakala bekalan lembu/kerbau yang diimport sehingga Mac [&#8230;]","Tue, 03 Jun 2025 01:39:00 +0000",https://sebenarnya.my/makluman-bekalan-ternakan-korban-dijangka-mencukupi-menjelang-sambutan-hari-raya-aidiladha-tahun-2025-1446h/,Sebenarnya.my,0,444,56,False,True,False
Makluman: Kaedah Penentuan Awal Zulhijah Dan Aidiladha Di Malaysia 1446/2025M,Menurut Kenyataan Media Jabatan Kemajuan Islam Malaysia (JAKIM): Mesyuarat Majlis Raja-Raja Malaysia Kali ke-164 yang bersidang pada 3 Februari 1994 telah bersetuju bahawa kaedah penentuan Aidiladha di Malaysia adalah berpandukan rukyah dan hisab. Keputusan ini dibuat berdasarkan pandangan dan syor Jawatankuasa Fatwa Majlis Kebangsaan Bagi Hal Ehwal Ugama Islam Malaysia Kali ke-30. Kaedah ini kekal [&#8230;],"Mon, 26 May 2025 08:48:00 +0000",https://sebenarnya.my/makluman-kaedah-penentuan-awal-zulhijah-dan-aidiladha-di-malaysia-1446-2025m/,Sebenarnya.my,0,411,56,False,True,False
Waspada Taktik Penipuan Yang Menyalahgunakan Nama MARA Dengan Menawarkan Pembiayaan Usahawan Bhd,Menurut Majlis Amanah Rakyat (MARA): Pihak MARA ingin menegaskan bahawa MARA tidak pernah melantik pihak ketiga bagi mempromosi dan memproses sebarang kemudahan pembiayaan perniagaan MARA. SUMBER: Facebook Rasmi MARA X Rasmi MARA Instagram Rasmi MARA,"Mon, 26 May 2025 01:08:00 +0000",https://sebenarnya.my/waspada-taktik-penipuan-yang-menyalahgunakan-nama-mara-dengan-menawarkan-pembiayaan-usahawan-bhd/,Sebenarnya.my,0,250,35,False,False,False
